date,customer,product,quantity,unit_price,total,salesperson,status
2024-02-01,Acme Corp,Laptop,1,1200,1200,Luis,paid
2024-02-03,Beta SA,Monitor,2,300,600,Ana,paid
2024-02-05,Gamma Ltd,Keyboard,3,85,255,Carlos,paid
2024-02-07,Acme Corp,Monitor,2,300,600,Ana,pending
2024-02-10,Delta Inc,Laptop,1,1200,1200,Luis,paid
2024-02-12,Beta SA,Mouse,5,45,225,Carlos,paid
2024-02-14,Gamma Ltd,Laptop,2,1200,2400,Luis,paid
2024-02-17,Acme Corp,Keyboard,4,85,340,Carlos,pending
2024-02-20,Delta Inc,Monitor,3,300,900,Ana,paid
2024-02-22,Beta SA,Laptop,2,1200,2400,Luis,paid
2024-02-24,Gamma Ltd,Mouse,6,45,270,Ana,paid
2024-02-27,Delta Inc,Keyboard,2,85,170,Carlos,pending
